Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-5678,Yes,FP-0500.3300,Individual Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-5678,Yes,FP-0500.3300,Individual Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-5678,Yes,FP-0500.3300,Individual Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-5678,Yes,FP-0500.3300,Individual Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-1978,No,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-1978,No,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-1978,No,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-1978,No,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-5678,Yes,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-5678,Yes,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-5678,Yes,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-5678,Yes,FP-0500,Advocacy,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-1978,No,BM-6500.1500-120,Children's Clothing,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Nelson F. Hincapie,President & CEO,NHincapie@BeAVoice.org,786-469-3860,No,305-324-1978,No,BM-6500.1500-120,Children's Clothing,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Mailing,1500 NW 12th Avenue,Suite # 1117,Miami,FL ,33136,Miami-dade,No,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-1978,No,BM-6500.1500-120,Children's Clothing,Primary Services,No,Florida
VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT(694),694,VOICES FOR CHILDREN FOUNDATION - CRIMINAL COURT  PROJECT,"VOICES FOR CHILDREN FOUNDATION, INC.(691)","The Criminal Court Project protects children who are key witnesses or victims in criminal court proceedings from the traumatic and repetitive natire of the separate legal actions from the criminal court division and juvenile dependency division by consolidating depositions, physical examinations, and inconsistent court orders.",Clients  Must be involved in dependency court proceedings in the 11th Judicial Circuit Guardian Ad Litem Program.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",None.  Donations accepted.,,Yes.  Check website or call.,www.voices4.org,Physical,1500 NW 12th Avenue,Suite 1117,Miami,FL ,33136,Miami-dade,Yes,Tania Rodriguez,Chief Operating Officer,TRodriguez@BeAVoice.org,786-469-3861,Yes,305-324-1978,No,BM-6500.1500-120,Children's Clothing,Primary Services,No,Florida
